,name,price,stars,reviews,url
0,"realme 8i (Space Black, 128 GB)","₹15,999",4.4,"55,338 Ratings & 3,762 Reviews",https://www.flipkart.com/realme-8i-space-black-128-gb/p/itm7ab6edcb3b2a4?pid=MOBG63YXVG5VRHWN&lid=LSTMOBG63YXVG5VRHWNMJYQIC&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG63YXVG5VRHWN.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
1,"realme 9i (Prism Black, 128 GB)","₹15,999",4.4,"1,135 Ratings & 101 Reviews",https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGO3UMRS&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
2,"realme 9i (Prism Blue, 128 GB)","₹15,999",4.4,"1,135 Ratings & 101 Reviews",https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHN5JU3BD&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
3,"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)","₹16,499",4.3,"37,122 Ratings & 4,024 Reviews",https://www.flipkart.com/motorola-g40-fusion-dynamic-gray-128-gb/p/itm0da1b05fa3a9e?pid=MOBFWSF8XAZVCJHZ&lid=LSTMOBFWSF8XAZVCJHZYTOUM6&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBFWSF8XAZVCJHZ.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
4,"POCO M3 Pro 5G (Power Black, 128 GB)","₹16,499",4.2,"22,309 Ratings & 1,907 Reviews",https://www.flipkart.com/poco-m3-pro-5g-power-black-128-gb/p/itme675f0ed3bafb?pid=MOBG3P4ZHGQEHY38&lid=LSTMOBG3P4ZHGQEHY38VH8B2H&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG3P4ZHGQEHY38.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
5,"realme 8 5G (Supersonic Black, 128 GB)","₹18,499",4.4,"64,424 Ratings & 5,334 Reviews",https://www.flipkart.com/realme-8-5g-supersonic-black-128-gb/p/itm8a548578d136e?pid=MOBG24GTKAAJZZHY&lid=LSTMOBG24GTKAAJZZHYQMXHF9&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG24GTKAAJZZHY.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
6,"realme 8 5G (Supersonic Blue, 128 GB)","₹16,499",4.3,"71,252 Ratings & 5,757 Reviews",https://www.flipkart.com/realme-8-5g-supersonic-blue-128-gb/p/itm8a548578d136e?pid=MOBG24GTQTFDXBBY&lid=LSTMOBG24GTQTFDXBBYFBB7WY&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG24GTQTFDXBBY.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
7,"realme 8 (Cyber Silver, 128 GB)","₹16,999",4.4,"84,935 Ratings & 7,371 Reviews",https://www.flipkart.com/realme-8-cyber-silver-128-gb/p/itm63bda3bf5b1db?pid=MOBGFH8THP6RWKGG&lid=LSTMOBGFH8THP6RWKGGENEOTL&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBGFH8THP6RWKGG.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
8,"realme 8 5G (Supersonic Black, 128 GB)","₹16,499",4.3,"71,252 Ratings & 5,757 Reviews",https://www.flipkart.com/realme-8-5g-supersonic-black-128-gb/p/itm8a548578d136e?pid=MOBG24GTTRD9XB8X&lid=LSTMOBG24GTTRD9XB8XOYYKCX&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG24GTTRD9XB8X.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
9,"POCO M3 Pro 5G (Yellow, 128 GB)","₹16,499",4.2,"22,309 Ratings & 1,907 Reviews",https://www.flipkart.com/poco-m3-pro-5g-yellow-128-gb/p/itm023855e180d52?pid=MOBG3P55YEAPRX4Q&lid=LSTMOBG3P55YEAPRX4Q1MXUNR&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=6d4984c5-78cf-454e-96ca-6bd90c601030.MOBG3P55YEAPRX4Q.SEARCH&ppt=None&ppn=None&ssid=fxclpz0iqo0000001644252606204&qH=9215ad6dc70e1542
