username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,10100,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,10000,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,8800,https://github.com/bitwarden/server
nopSolutions,nopCommerce,6800,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6100,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4800,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4400,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2200,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1900,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-NetCore,1500,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1200,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,968,https://github.com/MarimerLLC/csla
riganti,dotvvm,587,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,577,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,535,https://github.com/json-api-dotnet/JsonApiDotNetCore
antonioCoco,SharPyShell,505,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,448,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,428,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,421,https://github.com/YAFNET/YAFNET
Maarten88,rrod,378,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,365,https://github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,359,https://github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,341,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,313,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,308,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,285,https://github.com/ALMMa/datatables.aspnet
