username,repo_name,stars,repo_url
sindresorhus,awesome,181000,https://github.com/sindresorhus/awesome
vinta,awesome-python,111000,https://github.com/vinta/awesome-python
avelino,awesome-go,72800,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,71700,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,56100,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,50900,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,50300,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,48100,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,46800,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,44500,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43300,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,41800,https://github.com/wasabeef/awesome-android-ui
prakhar1989,awesome-courses,38800,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,38700,https://github.com/vsouza/awesome-ios
Solido,awesome-flutter,38700,https://github.com/Solido/awesome-flutter
MunGell,awesome-for-beginners,37300,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,36800,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,35200,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33600,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33000,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,30800,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,29000,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,28900,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,28700,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26100,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23800,https://github.com/goabstract/Awesome-Design-Tools
rust-unofficial,awesome-rust,23300,https://github.com/rust-unofficial/awesome-rust
alebcay,awesome-shell,22700,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22300,https://github.com/sindresorhus/awesome-electron
