username,repo_name,stars,repo_url
CyC2018,CS-Notes,144000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,60400,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,45700,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37900,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,35200,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,23300,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,22900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,21700,https://github.com/huihut/interview
youngyangyang04,leetcode-master,19700,https://github.com/youngyangyang04/leetcode-master
yuzu-emu,yuzu,17500,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,17200,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,16000,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,14500,https://github.com/microsoft/vcpkg
catchorg,Catch2,14300,https://github.com/catchorg/Catch2
ethereum,solidity,13800,https://github.com/ethereum/solidity
gabime,spdlog,13400,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13100,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,12900,https://github.com/Qv2ray/Qv2ray
facebook,infer,12800,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12300,https://github.com/CoatiSoftware/Sourcetrail
google,tink,11900,https://github.com/google/tink
ssloy,tinyrenderer,11800,https://github.com/ssloy/tinyrenderer
antlr,antlr4,11300,https://github.com/antlr/antlr4
SFTtech,openage,10700,https://github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10700,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,10100,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9900,https://github.com/compiler-explorer/compiler-explorer
doocs,leetcode,9500,https://github.com/doocs/leetcode
Ciphey,Ciphey,9200,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9000,https://github.com/hmemcpy/milewski-ctfp-pdf
