username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,21000,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,16500,https://github.com/refined-github/refined-github
checkly,headless-recorder,13800,https://github.com/checkly/headless-recorder
darkreader,darkreader,12100,https://github.com/darkreader/darkreader
unbug,codelf,12100,https://github.com/unbug/codelf
crimx,ext-saladict,8400,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,8000,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7600,https://github.com/appbaseio/dejavu
Anarios,return-youtube-dislike,6400,https://github.com/Anarios/return-youtube-dislike
alyssaxuu,screenity,6200,https://github.com/alyssaxuu/screenity
Kenshin,simpread,5400,https://github.com/Kenshin/simpread
dailydotdev,daily,4800,https://github.com/dailydotdev/daily
manojVivek,medium-unlimited,4500,https://github.com/manojVivek/medium-unlimited
gildas-lormeau,SingleFile,4500,https://github.com/gildas-lormeau/SingleFile
dessant,buster,4300,https://github.com/dessant/buster
zxlie,FeHelper,3900,https://github.com/zxlie/FeHelper
altair-graphql,altair,3800,https://github.com/altair-graphql/altair
bilibili-helper,bilibili-helper-o,3700,https://github.com/bilibili-helper/bilibili-helper-o
ajayyy,SponsorBlock,3700,https://github.com/ajayyy/SponsorBlock
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
webclipper,web-clipper,3700,https://github.com/webclipper/web-clipper
openstyles,stylus,3700,https://github.com/openstyles/stylus
lmk123,crx-selection-translate,3600,https://github.com/lmk123/crx-selection-translate
KartikTalwar,gmail.js,3400,https://github.com/KartikTalwar/gmail.js
WorldBrain,Memex,3400,https://github.com/WorldBrain/Memex
honestbleeps,Reddit-Enhancement-Suite,3300,https://github.com/honestbleeps/Reddit-Enhancement-Suite
vinta,pangu.js,3300,https://github.com/vinta/pangu.js
sunoj,jjb,3100,https://github.com/sunoj/jjb
Kholid060,automa,3000,https://github.com/Kholid060/automa
EmailThis,extension-boilerplate,3000,https://github.com/EmailThis/extension-boilerplate
