username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,138000,https://github.com/ohmyzsh/ohmyzsh
httpie,httpie,53100,https://github.com/httpie/httpie
junegunn,fzf,41100,https://github.com/junegunn/fzf
sharkdp,bat,30900,https://github.com/sharkdp/bat
wagoodman,dive,29000,https://github.com/wagoodman/dive
sherlock-project,sherlock,28700,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,28700,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,27800,https://github.com/chubin/cheat.sh
cli,cli,26700,https://github.com/cli/cli
angular,angular-cli,25100,https://github.com/angular/angular-cli
jesseduffield,lazygit,25100,https://github.com/jesseduffield/lazygit
spf13,cobra,24500,https://github.com/spf13/cobra
alebcay,awesome-shell,22700,https://github.com/alebcay/awesome-shell
tqdm,tqdm,20700,https://github.com/tqdm/tqdm
google,python-fire,20500,https://github.com/google/python-fire
sharkdp,fd,19900,https://github.com/sharkdp/fd
avajs,ava,19500,https://github.com/avajs/ava
vercel,pkg,19400,https://github.com/vercel/pkg
n8n-io,n8n,19300,https://github.com/n8n-io/n8n
ibraheemdev,modern-unix,18500,https://github.com/ibraheemdev/modern-unix
chalk,chalk,17600,https://github.com/chalk/chalk
vadimdemedes,ink,17500,https://github.com/vadimdemedes/ink
svg,svgo,17100,https://github.com/svg/svgo
urfave,cli,17000,https://github.com/urfave/cli
gpakosz,.tmux,15600,https://github.com/gpakosz/.tmux
allinurl,goaccess,14100,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,13300,https://github.com/infinitered/ignite
jarun,nnn,13200,https://github.com/jarun/nnn
pomber,git-history,12700,https://github.com/pomber/git-history
